Glacier Name,Mean ELA,Mean Ablation Gradient,Mean Accumulation Gradient,ELAS,ablation gradients,accumulation gradients,Years with ELA,Annual Variability ELA,Annual Variability Ablation Gradient,Annual Variability Accumulation Gradient
Glacier de la Plaine Morte,2852.0,5.953222542978908,3.7437222888583706,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2795, 2915, 2815, 2815, 2805, 2935, 2775, 2945, 2895, 2825]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.32241682117981, 7.223376822138842, 3.5885723593505485, 5.20810475918999, 5.976374562405226, 7.963902395619588, 3.705048574613792, 6.819922112830643, 7.470782968736584, 7.253724053724054]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.962359267350025, nan, 1.1313131313131313, 1.9797979797979794, 4.7648902821316605, nan, 8.880250783699058, nan, nan, nan]",10,60.174745533321534,1.5576491211207915,2.847317117488457
Glacier du Sex Rouge,2861.375,12.749267082581232,3.1602258886059125,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2867, 2852, 2832, 2882, 2817, 2882, 2877, 2882]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.053847955478814, 7.06662717598319, 6.477719007514017, 20.536911284132362, 5.221505158717381, 18.46944053613465, 15.133811048143224, 16.03427449454621]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.1602258886059125, nan, nan, nan]",8,23.642850399222173,5.456988533356819,0.0
Glacier de Tsanfleuron,2916.0,8.86330178650962,5.6877153760542,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2925, 2955, 2955, 2795, 2835, 2975, 2795, 2975, 2975, 2975]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.5651163457951975, 11.070191420540885, 6.9144630473481214, 7.55936810706597, 9.433605450692514, 12.146105222211416, 8.621694285251312, 10.538091996499077, 10.921871049304677, 6.862510940387046]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 5.454545454545454, 4.5059288537549405, nan, 7.102671819862207, nan, nan, nan]",10,72.72551134230683,2.259406734738952,1.0728605585782303
Grosser Aletschgletscher,3034.0,11.635376910538934,3.7911363113107073,"[2965, 2985, 2925, 3205, 2935, 2935, 3065, 2995, 3085, 3085, 2975, 3065, 3095, 2925, 2905, 3065, 2945, 3165, 3175, 3185]","[9.114241509029508, 9.952595835269777, 10.195033200872048, 9.243279418700478, 9.717374050658256, 13.607993915193795, 12.315166939881854, 13.361612190970353, 11.504510210002774, 12.79070939951172, 12.470630626054575, 12.989941840790229, 12.434605920803014, 13.09024755210888, 12.598163361919179, 12.812690908104138, 13.704336302886182, 12.218444260618881, 8.564181398923903, 10.021779368479116]","[3.2039142841658923, 3.5049365490927027, 3.061156259210914, 2.554235488404175, 2.9912559165130115, 4.569372897142966, 3.6068442236453624, 4.8876886797468755, 4.824366172327923, 4.954793168582801, 4.3475056675742785, 4.418607116661222, 3.649954548821299, 4.854360183586676, 3.469341816452747, 2.667612538513358, 4.011227307308301, 2.91125570999698, 3.454053003304607, 3.880244695162066]",20,95.12623192369179,1.6371607585230419,0.7601560291039698
Rhonegletscher,2968.076923076923,9.587223813175562,4.798995980047308,"[nan, nan, nan, nan, nan, nan, nan, 2855, 3055, 2905, 2915, 3095, 3035, 2855, 2915, 2995, 2855, 3105, 3065, 2935]","[nan, nan, nan, nan, nan, nan, nan, 9.454025006299075, 8.069405338487446, 9.809747118241967, 9.606701568023547, 9.660056699694014, 9.047286615546001, 10.218788889787117, 8.73100632950539, 10.23153204546323, 12.142989910266934, 8.18898513513664, 8.640650868997051, 10.832734045833869]","[nan, nan, nan, nan, nan, nan, nan, 6.219812908269401, 4.764834044721921, 4.482575434312582, 5.487664577170243, 4.866290663173932, 4.568884959259739, 5.629771700388228, 5.388844691193189, 4.904726181545386, 3.742516993282188, 4.4468041378365415, 4.410408855160645, 3.473812594301012]",13,90.33140823439801,1.079518104771279,0.7258067349125813
Griesgletscher,3146.0,5.453731172119999,3.307161399358988,"[3035, 2925, 2945, 3305, 3155, 3215, 3295, 3205, 3255, 3035, 3055, 3175, 3265, 2965, 2995, 3255, 3175, 3295, 3275, 3095]","[5.928498763441746, 5.536795230912878, 7.085630090535487, 6.058164530936055, 4.158419787296249, 4.736005224655658, 5.316787813381462, 5.686920400493965, 4.81061511321672, 3.721255005808709, 6.00848081402, 6.1284802154367375, 5.435308230997187, 6.751400691201144, 4.49134067913622, 5.571295507034627, 4.903409633844417, 6.336935677256398, 6.367531628035829, 4.041348404758486]","[1.5159448938015612, 4.340337892196299, 2.311062254955846, nan, nan, nan, nan, nan, nan, 2.3868797308662737, 2.5638102598782724, nan, nan, 4.477734152152756, 5.554360611661905, nan, nan, nan, nan, nan]",20,125.41531007018241,0.9011658733012222,1.3673623135648891
Schwarzberggletscher,3127.5,9.38411463112671,5.818088466180441,"[3055, 2965, 3005, 3225, 3155, 3095, 3205, 3055, 3075, 3075, 3185, 3215, 3195, 3005, 3065, 3225, 3055, 3355, 3165, 3175]","[11.70683568748865, 11.750260138475042, 11.086959807730096, 10.797561017035514, 7.264725542097804, 11.323769014490663, 9.20087414461008, 13.616009142006725, 12.177846931829233, 8.35219293980356, 7.22765345170418, 7.277261584394705, 9.38120116991235, 7.204755354686578, 9.37280914630858, 8.892436774971552, 6.743310699779865, 6.663324772133062, 9.491586639234834, 8.150918663841129]","[6.14648234269818, 7.770695792143513, 7.217984912598697, 5.310935441370224, 4.222223963025342, 5.628162839806474, 3.926049210561828, 8.469762799685714, 5.97827688651218, 6.207961972667854, 5.227988699253067, 4.609611362420351, 8.387937143095327, 6.077275661296317, 5.903554188464042, 3.3459815546772065, 4.871436155528657, 3.1189257076610954, 7.667975435417294, 6.272547254725472]",20,94.70348462437906,2.0118036720402808,1.5152216840530695
Allalingletscher,3434.0,4.576363068801524,2.377514683570887,"[3345, 3045, 3135, 3525, 3475, 3425, 3505, 3235, 3435, 3305, 3585, 3585, 3645, 3105, 3285, 3385, 3445, 4165, 3605, 3445]","[5.657057707351462, 6.060009600303924, 5.377542832013274, 5.839725370615422, 4.245899565191899, 6.03801962112954, 5.007807708535412, 6.543924631977911, 5.489919636677316, 3.1444168368469785, 3.178115639919309, 3.4751508621994103, 4.72161775382907, 2.9458691852105554, 4.55237885545466, 6.7635759220758365, 2.0934718410020277, 2.5837417463604435, 3.7784372504763586, 4.0305788088596906]","[3.429534726904922, 3.417424937000459, 3.299102953064707, 3.2742879438158408, 2.561560239068889, 3.5202706678434827, 2.870699493871951, 4.479857576518384, 4.214521714656322, 1.6573924873518737, 0.7258117251312987, 0.8738884922437852, 1.4868940667401251, 1.5835816072119029, 3.1977012294566127, 1.3093051665611801, 0.8262848340568547, nan, 0.9020101321614624, 1.5426489941867958]",20,235.24242814594479,1.3508687803963746,1.1974634073272052
Hohlaubgletscher,3322.0,7.43226019495143,1.7246744553530298,"[3115, 3135, 3125, 3345, 3265, 3215, 3315, 3105, 3185, 3435, 3465, 3505, 3485, 3145, 3185, 3465, 3355, 3915, 3355, 3325]","[10.513264938552295, 13.18336517672066, 12.554564247633554, 13.586868060803843, 8.54720612664773, 13.901436883980525, 10.769687247911431, 9.459568400421219, 13.30975605453936, 3.781677426175316, 2.8771498140884617, 3.038203230431849, 4.73515039264606, 3.5438996953074895, 5.75306181245186, 3.165533606208101, 1.9499138461119094, 3.0837002575910026, 5.214833827972513, 5.67636285283344]","[2.6880335338593264, 2.944690693021097, 3.1583699059561128, 2.1581011062876345, 1.8197425699752723, 2.5523703508527813, 2.0028985835437445, 3.5602944952154933, 2.7475235460624448, 0.7062966378804393, 0.46446454069490717, 0.3904234472181988, 0.6413662812665306, 1.2458650925104597, 1.7164546159744556, 0.5018816436617483, 0.8225397904594912, nan, 0.9590306210332444, 1.6884671962341864]",20,189.13222887704782,4.203212378936644,0.9881405007372361
Findelgletscher,3302.3333333333335,9.847058636126054,2.84329104100292,"[nan, nan, nan, nan, nan, 3245, 3315, 3225, 3355, 3235, 3285, 3385, 3345, 3195, 3185, 3305, 3405, 3405, 3355, 3295]","[nan, nan, nan, nan, nan, 10.696746182015918, 10.279263788831038, 10.600294416409097, 8.789933214844108, 10.661106724328933, 9.678657996630346, 9.71871562616344, 8.844325268584324, 9.90191653070356, 10.287223041369863, 11.66237497636874, 8.592788936241117, 8.962827812506587, 9.646662700559242, 9.383042326334497]","[nan, nan, nan, nan, nan, 2.2541724484729664, 2.8291767355653046, 2.37796410709032, 2.236976564077528, 2.9893965907561273, 2.579566774688726, 2.7634900310956647, 3.3428732515370365, 3.838592016458313, 3.8404110073928734, 1.8224203088218178, 2.61583199128921, 3.5551498634049015, 2.6437990271881238, 2.959544897204888]",15,70.66037707859256,0.8330378750968082,0.5725438074964594
Adlergletscher,3490.0,4.418015631606738,3.8439676234405398,"[nan, nan, nan, nan, nan, nan, 3535, 3405, 3485, 3435, 3495, 3485, 3595, 3385, 3355, 3495, 3485, 3605, 3475, 3625]","[nan, nan, nan, nan, nan, nan, 3.5201758493151116, 6.100959317072225, 2.6631641991945405, 1.7669129401427088, 2.4440200540369617, 3.282196683211912, 2.4459491533366893, 2.1500728428486267, 5.612146821336664, 6.474161283025946, 6.203975687632364, 5.935361345260887, 8.13291678500426, 5.120205881075446]","[nan, nan, nan, nan, nan, nan, 1.4072609382954209, 0.8808187376704341, 2.2339101740597997, 5.021915645698205, 3.8463173690133794, 4.939316537017686, 14.333150941921362, 3.0263470113376303, 2.784189565548711, 2.6672481260645693, 2.311467144487782, 2.906117765186832, 4.955017301038062, 2.5024694708276796]",14,77.62087348130012,1.9531084375900725,3.1550285181141895
Glacier de Tortin,3065.0,7.358067441351909,5.128346938922823,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3102, 2972, 3132, 3042, 3077]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8.005708550408263, 5.215492843858656, 6.913056771627391, 7.103229150376257, 9.552849890488975]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 7.353138068723271, nan, 4.979138480338672, 3.052764267706525]",5,55.09990925582364,1.4205711500462954,1.7587876658279127
Glacier du Giétro,3300.5,9.063552375636663,3.4569204158304894,"[3275, 3195, 3175, 3565, 3295, 3245, 3335, 3215, 3325, 3345, 3325, 3345, 3355, 3195, 3215, 3355, 3225, 3425, 3245, 3355]","[7.42850030228671, 8.680768329969938, 8.836782849052787, 8.10690503506083, 8.28310042672829, 9.161407943633241, 8.196653593946804, 10.402646443303722, 8.82360546028366, 7.353195558267704, 7.123290945337411, 8.990411643450559, 9.308970332286394, 7.814069092419607, 9.172465661243717, 10.986975276716732, 11.91013431013431, 8.323401758893603, 12.11742009275411, 10.250342456963125]","[3.5480118027258674, 5.945982943423088, 3.989256198347107, 0.6454622344106414, 4.33237648255039, 3.274894622385695, 2.4585600183000054, 5.154289297498362, 3.942671245255738, 4.419585369286763, 2.8581962768841493, 2.783036737648549, 3.435985644815357, 4.723322453784733, 5.179593603965422, 1.2737890467392918, 3.0231536703639703, 2.4055349959774737, 2.86483478396704, 2.8798708882801383]",20,91.07551811546284,1.3860200281984771,1.2719868615857575
Glacier de Corbassière,3297.5,5.3204713127186,1.357267678610528,"[3105, 2925, 3105, 3435, 3265, 3305, 3425, 3115, 3395, 3375, 3395, 3415, 3455, 3105, 3045, 3555, 3225, 3525, 3385, 3395]","[6.278892174212333, 7.668754379579886, 5.883926180488613, 4.882423875676064, 4.735171605418665, 5.109388497661275, 4.147424296177872, 6.740958298386053, 5.041650757181814, 4.9444848805663995, 4.304775670941601, 5.229352131273823, 5.026264042806187, 5.950014654552237, 6.374923744428362, 4.271673114586426, 5.1190057561486135, 4.672849014491843, 5.1952811251147715, 4.832212054679154]","[1.3797865279363413, 2.1569517934536946, 1.474562665876006, 1.007816553686501, 1.6353021862508572, 1.2646392253126428, 0.906406048312742, 1.747535358470054, 1.643121384947916, 1.5644994447088687, 0.9991313774737225, 1.0648860149214228, 1.6165288961588722, 1.565398497011284, 1.7232829298253411, 0.5906415991864277, 1.3477385772122612, 0.9326695769829719, 1.3793841789815617, 1.1450707355010739]",20,171.37313091613865,0.8772449829937311,0.36151478726560404
Ghiacciaio del Basòdino,3045.0,4.026590105740761,2.5174701842176104,"[2965, 2765, 2955, 3195, 3005, 3195, 3195, 3145, 3145, 2755, 2985, 3135, 3125, 2885, 2945, 3125, 3125, 3125, 3155, 2975]","[5.2948697206907855, 6.12926182312221, 5.074860644031879, 7.090983443308999, 3.949646354821303, 4.512224586786089, 5.595350592318724, 3.3996941849726734, 3.2929956988775557, 0.6968641114982578, 4.069999239138705, 4.1332123375549115, 5.027315541601255, 2.0673334156480223, 1.9259368690599301, 4.479613051041623, 3.079333022190165, 3.592861446647347, 5.1117130237717685, 2.0077330077330076]","[2.7123588112731656, 3.937801249004568, 5.084536281562304, nan, 0.8361269966476039, nan, nan, nan, nan, 1.8687455662385097, 1.0941044895350693, nan, nan, 3.4088114983123585, 1.1972765811673016, nan, nan, nan, nan, nan]",20,133.41664064126334,1.5337894441843363,1.4342366955805006
Vadret Pers,3055.0,7.37250972181268,3.482387695542354,"[nan, nan, 3005, 3075, 3015, 3085, 3225, 3085, 3025, 3025, 3025, 3085, 3105, 3015, 2955, 3075, 3045, 3025, 3095, 3025]","[nan, nan, 5.6364344102763715, 5.187785373312536, 4.839659334340185, 6.334850141521693, 5.743556179503315, 8.237011870363258, 6.5765083972631135, 5.473965892597969, 9.155894031820871, 8.594312649612188, 8.250937954782776, 7.479718599030806, 9.538096880433175, 7.820500012807705, 9.775108379513794, 6.666713748975959, 7.772061588601512, 9.622059547870984]","[nan, nan, 3.344085313672569, 3.443729787998562, 3.4213499833716723, 2.643028347778598, 3.391144044821977, 3.9431325154987404, 4.4226187740930785, 4.042541676240075, 2.949569834826785, 3.9224355019771635, 2.85516234155486, 2.0886640199500457, 4.906091635819197, 5.269222127353615, 3.1899152636066983, 1.5771109149749927, 2.4435218448168303, 4.829654591406908]",18,56.17433182117573,1.5768390702317212,0.9658158440671388
Vadret dal Murtèl,3215.5714285714284,12.546773624248724,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3187, 3157, 3222, 3212, 3252, 3237, 3242]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.854952629220292, 3.269122699562059, 15.070875350913646, 12.27747201194377, 16.296656496095572, 17.736673308183935, 18.32166287382179]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",7,31.134992453861955,5.682410905738089,
Vadret dal Corvatsch,3359.8571428571427,4.988738366853378,8.662425343067202,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3347, 3267, 3397, 3302, 3427, 3352, 3427]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.2261214059298067, 0.9768636551155971, 6.272421023311466, 3.9079853413932844, 6.49131581106731, 7.233554184405733, 6.81290714675045]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.505386738396446, nan, 2.819463947737957, nan, nan, nan]",7,56.81153950042335,2.15944286089504,5.842961395329245
