Glacier Name,Mean ELA,Mean Ablation Gradient,Mean Accumulation Gradient,ELAS,ablation gradients,accumulation gradients,Years with ELA,Annual Variability ELA,Annual Variability Ablation Gradient,Annual Variability Accumulation Gradient
Silvrettagletscher,2913.0,6.30809174768113,3.1415984749623522,"[2735, 2685, 2885, 3045, 2755, 2845, 2955, 2945, 2855, 2975, 2865, 3025, 3025, 2785, 2925, 3025, 2865, 3025, 3025, 3015]","[6.250187554446776, 4.442032691112035, 5.3645226720719466, 6.92877117540429, 5.423539499514859, 7.844225750120269, 6.104458523146205, 6.727934060800213, 6.761307057985548, 6.086418015482055, 5.221427119501865, 5.718732233017946, 5.600577029148457, 8.143392188336009, 5.894591682826977, 6.994645508931224, 7.585522667118315, 6.5879757308328735, 5.853451567737282, 6.628122226087426]","[2.9751129927341378, 4.541274817136886, nan, nan, 4.228705100605156, 3.876504089410354, nan, 0.7050596462361168, 1.884227296866702, nan, 3.802390613005812, nan, nan, 4.146724188032278, 3.3398601398601393, nan, 1.9161258657359437, nan, nan, nan]",20,108.56334556377672,0.9064828301729135,1.192242293000981
Jörigletscher,2883.153846153846,7.859216103098425,13.262069226561733,"[nan, nan, nan, nan, nan, nan, nan, 2897, 2862, 2887, 2877, 2892, 2897, 2792, 2862, 2922, 2882, 2912, 2922, 2877]","[nan, nan, nan, nan, nan, nan, nan, 6.388799294958864, 5.560808972702643, 6.031644320171393, 5.1768128695574385, 8.47666560112912, 9.14302001153956, 2.0318999150911963, 6.990273816801633, 11.39091814047409, 6.653095388379013, 13.55058821611225, 15.08779218751307, 5.68749060584926]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.696672529696647, 12.544080604534004, nan, nan, nan, nan, 14.545454545454545]",13,32.3534474535586,3.48634969446546,0.9096261068770384
Vorabgletscher,3143.3333333333335,4.827274179535915,3.787763561583182,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2945, 3165, 3065, 3325, 3195, 3165]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 5.834582107989295, 4.595635292255099, 4.164366001028572, 4.874634003232852, 4.527388572346543, 4.967039100363132]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.445362940163423, 3.9420989143546437, 3.5862859678970334, nan, 3.0102503780877163, 3.954819607413093]",6,116.963907063485,0.5195321057373707,0.4752439452616625
Glatschiu dil Segnas,2967.0,5.089070221251147,3.463110978312293,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3032, 2987, 2987, 3027, 2802, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 7.214764836889119, 4.230392980869578, 4.670330508302721, 5.566838158928877, 3.763024621265441, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.463110978312293, nan, nan, nan]",5,84.67585252006619,1.2180235042737053,0.0
Blauschnee,2320.75,6.971104680764926,12.311993532283141,"[nan, nan, nan, nan, nan, nan, nan, 2352, 2292, 2352, 2282, 2372, 2252, 2312, 2367, 2372, 2292, 2297, 2307, nan]","[nan, nan, nan, nan, nan, nan, nan, 5.6017807695660045, 3.401360544217687, 9.244614445956726, 1.2362637362637363, 11.765064441203016, nan, 8.705787692748576, 11.331588214676968, 16.706590412312483, 1.5175300889586603, nan, 0.20046646174539465, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 18.143629998939215, nan, 10.92452414198574, nan, nan, nan, nan, nan, 7.867826455924472, nan, nan, nan]",12,38.79030162295725,5.177287519754293,4.3082740624228135
Pizolgletscher,2757.769230769231,13.097162177220879,,"[nan, nan, nan, nan, nan, nan, nan, 2787, 2752, 2757, 2772, 2782, 2752, 2712, 2777, 2777, 2727, 2772, 2757, 2727]","[nan, nan, nan, nan, nan, nan, nan, 14.295269794982604, 10.428090795884037, 12.38291609902941, 8.103453113027072, 17.261056495309273, 15.875200567049474, 11.24487894339846, 10.783956969927846, 13.53326066349941, 9.52880538572767, 14.570872720705177, 19.720917725791313, 12.534429029539682]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13,22.604131161407867,3.127176746956547,
Claridenfirn,2905.5,12.508347545684602,3.044840314249416,"[2835, 2825, 2905, 2965, 2875, 2895, 2915, 2935, 2905, 2915, 2885, 2965, 2935, 2855, 2855, 2945, 2885, 2945, 2945, 2925]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.82152109666952, 14.265193884196707, 13.136374053659313, 17.027704639765265, 13.57972082738287, 14.001853298011067, 12.912609223989127, 10.963005033049235, 9.25691530502819, 6.11857809509473]","[3.5974553663041244, 3.0948616600790513, 2.131661442006269, nan, 2.083232323232323, 5.231671554252199, 3.3939393939393936, 1.5019762845849802, 4.413793103448276, 0.5252525252525252, 4.396694214876033, nan, nan, 2.3220798589926104, 3.0335570469798654, nan, 3.8567493112947653, nan, nan, nan]",20,40.308187753854675,2.8802919304270245,1.2582824406878417
Schwarzwasserfirn,2812.0,14.151096908728931,9.315823840963505,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2752, 2812, 2832, 2822, 2837, 2832, 2797]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.372166667109807, 15.936248718705416, 16.058863285410578, 19.59107410076479, nan, 9.797131771654065]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.315823840963505, nan, nan, nan, nan, nan, nan]",7,27.6457178290909,3.955120176471376,0.0
St. Annafirn,2828.875,8.66973225770444,8.95148590120321,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2827, 2757, 2792, 2917, 2822, 2857, 2842, 2817]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8.704509556419254, 4.486536274615745, 3.9604111735259275, 8.748304816519111, 11.760516511062319, 10.390919315757811, 12.061409404995564, 9.245251008739787]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.7185822030478906, 2.42636854943672, nan, nan, 13.916806805816599, 16.744186046511626, nan, nan]",8,43.94154497739013,2.829185940959604,6.457685967227016
Tiefengletscher,3240.0,4.387537820298563,2.590715215650139,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3255, 3245, 3145, 3315, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.9090086499412924, 4.586722853010566, 3.687804070191744, 5.366615708050651, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.5885167464114833, 0.46753246753246747, 5.716096433006466, nan, nan, nan]",4,61.032778078668514,0.6551499209079825,2.256864676747554
