rgi_id,glac_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
RGI2000-v7.0-G-11-00345,Vallanta Superiore IT4L01482003,0,11,11-01,G007077E44671N,753154,731,2003-08-13T00:00:00,7.08573346875,44.666654,32,0.014150745189255,0,0,9,0,7.0846343490783195,44.66695202720383,3499.3613,3659.4734,3613.153,3605.7695,37.66097,316.61254501342773,8,COPDEM30,194
RGI2000-v7.0-G-11-00346,Sella IT4L01482007,0,11,11-01,G007094E44664N,753164,731,2003-08-13T00:00:00,7.093527207720271,44.663634,32,0.020627387327884,0,0,9,0,7.094229328699038,44.662902008940954,3265.4028,3351.3977,3297.1494,3299.5635,28.593864,178.25127,5,COPDEM30,182
RGI2000-v7.0-G-11-00347,Viso,0,11,11-01,G007091E44662N,753160,731,2003-08-13T00:00:00,7.091129167763158,44.6613755,32,0.049882905945344,0,0,9,0,7.092996550344739,44.65973510070467,3116.6943,3250.0032,3154.0952,3155.1008,20.437534,145.12225,4,COPDEM30,439
RGI2000-v7.0-G-11-00348,Coolidge Superiore IT4L01481003,0,11,11-01,G007090E44673N,753159,731,2003-08-13T00:00:00,7.089196345667947,44.672759,32,0.025129330847636,0,0,9,0,7.089099975941329,44.67345369002296,3134.2188,3257.0571,3210.219,3202.3364,37.799133,355.8794703483581,1,COPDEM30,221
RGI2000-v7.0-G-11-00349,Coolidge Inferiore,0,11,11-01,G007091E44679N,753161,731,2003-08-13T00:00:00,7.090510853448276,44.678726999999995,32,0.032895457086677,0,0,9,0,7.090892680591367,44.679901196481985,2502.6528,2700.3694,2570.8997,2575.4724,35.3772,48.07023,2,COPDEM30,279
RGI2000-v7.0-G-11-00350,"",0,11,11-01,G007080E44684N,753145,731,2003-08-13T00:00:00,7.080255143444836,44.6843645,32,0.013514720948697,0,0,9,0,7.080994750045391,44.68480244857532,2553.5308,2670.939,2611.04,2611.455,43.534245,47.033634,2,COPDEM30,143
RGI2000-v7.0-G-11-00351,"",0,11,11-01,G007074E44682N,753134,731,2003-08-13T00:00:00,7.074480424668131,44.682421500000004,32,0.02004097044494,0,0,9,0,7.073524367463497,44.681604100200964,2948.934,3001.7612,2973.6182,2974.7468,19.533216,260.5995635986328,7,COPDEM30,222
RGI2000-v7.0-G-11-00352,Vallanta Basso IT4L01482002,0,11,11-01,G007078E44672N,753142,731,2003-08-13T00:00:00,7.077830025000001,44.670921,32,0.061471675114135,0,0,9,0,7.07627778545685,44.67083817762664,2744.957,2967.053,2792.515,2805.8113,25.975048,295.9593811035156,8,COPDEM30,432
RGI2000-v7.0-G-11-00353,"",0,11,11-01,G007253E44232N,753275,731,2003-08-13T00:00:00,7.253273273088751,44.231733500000004,32,0.010678252557101,0,0,9,0,7.253348164601199,44.23215741476025,2358.4592,2420.7625,2387.1155,2388.8242,27.796204,21.958845,1,COPDEM30,131
RGI2000-v7.0-G-11-00354,"",0,11,11-01,G007256E44229N,753279,731,2003-08-13T00:00:00,7.25591345170454,44.229025500000006,32,0.013771126713214,0,0,9,0,7.255821535207619,44.229393984807324,2595.782,2730.9197,2680.2285,2674.199,55.896626,28.440977,2,COPDEM30,132
RGI2000-v7.0-G-11-00355,"",0,11,11-01,G007260E44229N,753283,731,2003-08-13T00:00:00,7.259611871942447,44.228961,32,0.0227183945236,0,0,9,0,7.257961969301697,44.23006128142517,2487.8843,2660.3647,2545.6875,2553.4705,29.808893,337.7787857055664,1,COPDEM30,366
RGI2000-v7.0-G-11-00356,Lourousa IT4L01312015,0,11,11-01,G007301E44189N,753321,731,2003-08-13T00:00:00,7.301465267326734,44.189467,32,0.060224425445577,0,0,9,0,7.299180109326543,44.19064953242297,2398.6143,2571.0166,2488.0159,2487.5378,26.176939,298.9495391845703,8,COPDEM30,396
RGI2000-v7.0-G-11-00357,"",0,11,11-01,G007312E44150N,753327,731,2003-08-13T00:00:00,7.312127408814092,44.1498095,32,0.08346456361299,0,0,9,0,7.315853997793952,44.150020698825394,2619.2024,2825.4788,2722.185,2727.9854,30.312336,66.02003,2,COPDEM30,461
RGI2000-v7.0-G-11-00358,"",0,11,11-01,G007321E44147N,753335,731,2003-08-13T00:00:00,7.32100574114366,44.147366000000005,32,0.071323822566127,0,0,9,0,7.3230154677817065,44.14917192980946,2353.2466,2571.304,2422.5073,2432.9324,25.692364,36.649,2,COPDEM30,469
RGI2000-v7.0-G-11-00359,"",0,11,11-01,G007335E44147N,753350,731,2003-08-13T00:00:00,7.33477761124641,44.1471675,32,0.066419650769455,0,0,9,0,7.331798325408746,44.147944539777626,2516.4033,2704.8127,2583.464,2591.695,31.480152,324.40214920043945,8,COPDEM30,541
RGI2000-v7.0-G-11-00360,Gl E Gelas,0,11,11-01,G007387E44125N,753399,731,2003-08-13T00:00:00,7.386689731481482,44.125695,32,0.076440293789584,0,0,9,0,7.383415136054413,44.127289230144946,2751.0398,2987.5732,2872.1465,2869.9607,33.15186,331.8174419403076,8,COPDEM30,521
RGI2000-v7.0-G-11-00361,"",0,11,11-01,G007391E44127N,753404,731,2003-08-13T00:00:00,7.391560612069009,44.1268345,32,0.044928444658469,0,0,9,0,7.391227079622233,44.128963861765364,2716.1995,2982.167,2839.8105,2840.0708,36.055332,29.715961,2,COPDEM30,467
RGI2000-v7.0-G-11-00362,"",0,11,11-01,G007403E44121N,753411,731,2003-08-13T00:00:00,7.402686157483983,44.1215945,32,0.057638441874297,0,0,9,0,7.404603930244419,44.12277093719475,2605.3022,2816.8733,2703.552,2702.6313,43.74979,36.289116,2,COPDEM30,334
