rgi_id,glacier_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_sec,dem_source,lmax_m,EastWest,SouthNorth,ela,gradabl,gradacc,ela_std,gradabl_std,gradacc_std,dhdt_mean,dhdt_std,vel_ensemble_year0,vel_ensemble_year10,vel_ensemble_year20,smb_ensemble_year0,smb_ensemble_year10,smb_ensemble_year20,smb_ensemble_mean,smb_ensemble_std,dhdt_ensemble_mean,dhdt_ensemble_std,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs,eos_sla_mean,eos_sla_n,country,ela_wgmsglamos,ela_source,gradabl_wgmsglamos,gradabl_source,gradacc_wgmsglamos,gradacc_source,annual_mass_balance,annual_mass_balance_std,annual_mass_balance_source,n_years
RGI2000-v7.0-G-11-01706,Rhonegletscher,0,11,11-01,G008398E46623N,754359,731,2003-08-13T00:00:00,8.4052,46.6166,32,15.8966,0,0,9,0,8.3825,46.5795,2207.0068,3579.8770,2951.7573,2941.0874,14.8566,6,COPDEM90,9031,-0.6303,-0.7764,3052,8.5375,3.6734,42.6062,1.0302,1.2365,-1.1586,2.5335,27.8541,23.0050,20.4694,-1.0773,-1.1267,-1.0916,-1.0985,0.2913,-1.1379,0.2758,26.6793,19.7914,0.0000,9.8817,24.0344,40.2940,89.9022,21.4286,20.9692,0.0000,4.4674,12.4537,36.6826,103.1630,11.2965,515,8.1064,112.2479,82.6014,144.6593,86.9505,36.9272,-32.4114,46.0324,32.5756,88.6712,26.5000,86.3561,124.6061,169.0455,450.5000,2897.0000,19.0000,CH,2968.0000,GLAMOS,8.7240,GLAMOS,2.6390,GLAMOS,-0.7550,0.4450,GLAMOS,13.0000
RGI2000-v7.0-G-11-02216,Vadret Pers,0,11,11-01,G009927E46382N,755067,731,2003-07-30T00:00:00,9.9656,46.3976,32,15.8092,0,0,9,0,9.9347,46.4288,2004.4608,3960.3250,2997.9797,3025.8460,21.6153,1,COPDEM90,7090,-0.0722,0.9974,3141,3.6612,0.5133,114.5922,0.9071,0.5630,-0.9411,3.1612,9.1746,7.5154,6.5392,-0.6787,-0.6703,-0.6341,-0.6610,0.1904,-0.6785,0.1727,9.2873,10.3195,0.0000,2.3086,6.7566,12.7073,84.6312,24.2090,39.4122,0.0000,4.6385,13.1405,25.8287,348.1290,16.1450,665,10.4989,58.7824,43.4018,74.4721,49.1797,24.8824,-15.6898,30.6041,21.3108,58.0635,8.0000,43.0000,59.8000,87.0000,262.5555,3037.0000,20.0000,CH,3055.0000,GLAMOS,6.7090,GLAMOS,1.9150,GLAMOS,-0.9240,0.4040,GLAMOS,18.0000
RGI2000-v7.0-G-11-00978,ZMUTTGLETSCHER,0,11,11-01,G007625E45991N,753583,731,2003-08-13T00:00:00,7.6466,46.0000,32,15.3576,0,0,9,0,7.6584,46.0020,2238.8672,3948.9438,2984.0780,2969.1018,18.8285,2,COPDEM90,7784,0.5929,0.8052,3270,2.9311,0.9320,141.6988,0.6449,0.9136,-0.9002,2.4322,4.1445,3.0138,2.5682,-0.8058,-0.7952,-0.7639,-0.7883,0.3538,-0.7729,0.2924,4.8793,5.0434,0.0000,1.1512,3.3473,7.2674,34.7118,11.4137,11.7249,0.0000,3.3543,6.9648,15.4733,66.0886,7.9785,485,7.9003,70.4306,37.7552,78.4424,50.1510,31.9896,-8.0118,44.5330,21.9765,101.7513,6.6250,42.7391,70.1154,102.6809,271.0000,3044.0000,17.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-01728,TRIFTGLETSCHER,0,11,11-01,G008379E46648N,754337,731,2003-08-13T00:00:00,8.3882,46.6621,32,14.8156,0,0,9,0,8.3584,46.6914,1648.6292,3371.1968,2914.3708,2841.5745,19.1344,1,COPDEM90,6638,0.0133,0.9999,2989,5.1018,1.2234,65.8806,1.5187,1.0066,-0.7681,3.8106,16.0359,11.4124,7.7756,-0.7161,-0.7971,-0.7144,-0.7426,0.2394,-0.7932,0.2131,16.2166,20.2982,0.0000,4.1635,10.0768,17.4304,143.1134,12.2425,17.3147,0.0000,2.7600,5.3096,12.7292,90.1214,8.5747,815,13.7739,60.3866,37.3067,76.8265,53.4793,24.6522,-16.4399,34.4468,17.1919,67.2745,9.8200,35.9483,62.1034,101.6697,332.2500,2850.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-01189,Findelgletscher,0,11,11-01,G007880E45990N,753829,731,2003-08-13T00:00:00,7.8804,45.9927,32,14.3121,0,0,9,0,7.8183,46.0097,2494.9312,3769.4897,3292.1055,3251.7327,13.4114,8,COPDEM90,7350,-0.6419,0.7668,3209,15.3269,3.1066,25.7927,2.7270,0.8800,-0.5386,1.3404,22.3220,20.3118,19.2452,-0.2030,-0.3334,-0.3074,-0.2813,0.2363,-0.3767,0.2262,18.5621,14.4553,0.0000,6.8677,15.4311,29.3788,77.9252,12.7954,11.6114,0.0000,3.5855,8.8523,19.0461,54.6002,9.0804,874,15.3145,97.0525,53.6195,99.1340,49.4648,24.4404,-2.0814,32.2522,19.8953,67.5930,1.0000,53.7125,101.1000,138.0682,213.3571,3254.0000,19.0000,CH,3302.0000,GLAMOS,8.9610,GLAMOS,1.5640,GLAMOS,-0.5010,0.3360,GLAMOS,15.0000
RGI2000-v7.0-G-11-00745,ARGENTIERE,0,11,11-01,G006985E45951N,753003,731,2003-08-13T00:00:00,6.9787,45.9476,32,14.2568,0,0,9,0,6.9465,45.9772,1492.7166,4072.3206,2868.9392,2842.5417,21.5318,1,COPDEM90,9649,0.0487,0.9988,3274,2.3383,0.0770,146.6397,0.6056,0.4166,-0.8599,2.8702,1.1476,0.7248,0.5626,-0.8814,-0.8733,-0.8606,-0.8718,0.2434,-0.7968,0.1933,1.2840,1.6605,0.0000,0.1015,0.5560,1.7624,10.5804,21.0579,20.7711,0.0000,4.1502,16.0417,32.0637,122.8400,19.6342,0,0.0000,,,,,,,,,,,,,,,2852.0000,19.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-00922,Grand Cornier-E-I,0,11,11-01,G007639E46058N,753585,731,2003-08-13T00:00:00,7.6484,46.0562,32,14.0255,0,0,9,0,7.6324,46.0834,2040.7506,3909.1816,3082.9080,3054.1400,22.6095,1,COPDEM90,7324,-0.2774,0.9608,3188,5.2396,0.5034,85.6660,1.2778,0.8413,-0.8375,2.6789,4.1064,2.9897,2.6826,-0.8988,-0.8707,-0.6947,-0.8214,0.2272,-0.8169,0.1898,4.6624,3.9070,0.0000,1.4857,3.9167,6.7447,17.4387,8.8470,9.0660,0.0000,2.8647,5.8378,11.4490,54.9598,6.2865,633,11.2895,60.3079,37.2901,86.7097,46.0580,32.7710,-26.4018,45.3077,23.1509,105.0163,2.0000,50.8750,75.8750,115.6667,219.0000,3155.0000,15.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-01457,KANDERFIRN,0,11,11-01,G007807E46481N,753728,731,2003-08-13T00:00:00,7.8045,46.4747,32,13.1742,0,0,9,0,7.7622,46.4667,2292.9355,3191.5376,2779.2126,2788.4710,14.7316,7,COPDEM90,6533,-0.9411,0.3380,2980,6.3861,4.0655,59.8358,1.3979,2.1890,-1.2190,1.3841,13.5331,9.8415,7.1264,-1.0747,-1.1551,-1.2039,-1.1446,0.3179,-1.2136,0.2993,12.9502,8.1869,0.0000,6.0456,13.3169,19.2313,37.9407,6.5546,4.4417,0.0000,3.2224,5.6774,9.1019,27.9041,9.0936,679,12.9038,87.1837,49.1302,92.8877,51.2178,16.8869,-5.7040,22.5073,13.3088,44.5580,15.1667,53.3391,76.1481,133.7689,212.3929,2768.0000,18.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-01870,HFIFIRN,0,11,11-01,G008861E46827N,754620,731,2003-08-13T00:00:00,8.8566,46.8203,32,12.0822,0,0,9,0,8.8124,46.8067,1637.1620,3217.9324,2765.7148,2716.3835,13.7334,6,COPDEM30,7083,-0.8116,-0.5842,2868,9.5111,7.0300,43.0593,1.8796,1.6949,-1.1497,1.9599,14.7046,11.4188,8.8271,-1.2137,-1.2695,-1.3086,-1.2639,0.3086,-1.2782,0.2859,15.0757,11.1259,0.0000,6.5029,12.9531,21.1361,60.7957,9.8887,10.2145,0.0000,2.7190,6.3644,14.3262,87.4439,9.0684,431,8.9123,96.9657,57.2444,113.1825,79.4795,32.4338,-16.2167,43.6318,24.5283,90.2237,5.0000,46.0833,79.0000,176.8571,305.0000,2721.0000,20.0000,,,,,,,,,,,
RGI2000-v7.0-G-11-00859,OTEMMA GLACIER D',0,11,11-01,G007457E45957N,753457,731,2003-08-13T00:00:00,7.4586,45.9609,32,11.7569,0,0,9,0,7.4135,45.9343,2453.0972,3759.6277,3002.9970,3002.9788,15.0590,7,COPDEM30,8693,-0.9569,0.2905,3210,7.6312,-0.4014,87.7585,1.6003,0.7903,-1.4588,1.3766,1.5953,0.9923,0.6325,-1.6936,-1.7380,-1.7159,-1.7158,0.6052,-1.5002,0.3296,1.8407,1.7313,0.0000,0.4912,1.2378,2.8769,10.5534,5.2634,4.0295,0.0000,2.5561,4.3140,6.9205,25.0741,3.7667,373,7.9261,74.8186,47.4243,94.4936,61.8084,48.1710,-19.6750,62.0847,35.2338,127.4916,5.3704,45.2045,78.7568,126.6111,268.9200,3041.0000,19.0000,,,,,,,,,,,
