rgi_id,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs
RGI2000-v7.0-G-11-00612,5.338490962982178,3.9034035205841064,0.0,1.9821076393127441,5.3505260944366455,7.713110327720642,27.843364715576172,8.517141342163086,6.104315757751465,0.0,3.9641480445861816,7.392670154571533,11.767158508300781,40.87144470214844,5.24388313293457,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-01976,2.806974172592163,2.029130220413208,0.0,0.9656705856323242,2.5796613693237305,4.444328784942627,9.056559562683105,4.492102146148682,3.647399663925171,0.0,2.4838616847991943,3.681793212890625,5.565479278564453,31.874101638793945,2.606537342071533,56,0.9212041454186544,35.60776901245117,15.273719787597656,60.60714340209961,18.811735153198242,27.718416213989258,-24.999374389648438,32.34481240706827,23.412654876708984,56.17139530181885,25.0,47.0,59.0,71.25,106.0
RGI2000-v7.0-G-11-00605,1.6769737005233765,1.0019681453704834,0.0,0.8819052428007126,1.6238303780555725,2.4245351552963257,4.265507221221924,4.000407695770264,2.9647316932678223,0.0,1.898905634880066,3.2296091318130493,5.39403772354126,15.92640495300293,2.4934329986572266,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-02195,8.580061912536621,7.034231185913086,0.0,2.9294673204421997,7.357376575469971,12.841649293899536,46.32054901123047,8.557531356811523,9.267809867858887,0.0,2.526834011077881,4.905348300933838,11.10358738899231,50.884735107421875,6.316792964935303,529,4.240820907487574,42.74122619628906,20.684080123901367,47.897178649902344,14.199859619140625,16.41025161743164,-5.155928134918213,19.812589338323814,15.185670852661133,39.183940124511686,11.0,38.85714340209961,46.33333206176758,57.78571319580078,96.0
RGI2000-v7.0-G-11-03437,4.118345737457275,2.5156619548797607,0.0,2.014570474624634,4.246910095214844,5.955699682235718,11.511563301086426,3.003758192062378,2.3222811222076416,0.0,1.3926801681518555,2.333523988723755,3.928175449371338,17.093246459960938,2.8389387130737305,48,0.8231864174241125,53.938045501708984,30.489608764648438,77.3125,29.68385887145996,26.412490844726562,-23.37445640563965,30.328579820134177,26.41328239440918,49.0,24.0,49.0,83.5,98.0,127.0
RGI2000-v7.0-G-11-01706,26.679256439208984,19.79140853881836,0.0,9.88166332244873,24.034404754638672,40.29396438598633,89.9021987915039,21.428638458251953,20.96917152404785,0.0,4.46744441986084,12.45367431640625,36.68258285522461,103.1629638671875,11.296476364135742,515,8.106406422162758,112.24793243408203,82.60137939453125,144.65927124023438,86.9505386352539,36.927249908447266,-32.41141891479492,46.0323743922416,32.57561492919922,88.67121734619137,26.5,86.35606002807617,124.60606384277344,169.0454559326172,450.5
RGI2000-v7.0-G-11-03987,1.8910996913909912,1.5692248344421387,0.0,0.5823909044265747,1.587508738040924,2.8031803965568542,6.033156871795654,2.488271474838257,1.8836157321929932,0.0,1.247927576303482,2.0497320890426636,3.2217533588409424,27.480642318725586,1.4757269620895386,99,1.6768292682926829,22.9140567779541,14.93064022064209,36.641414642333984,19.98320770263672,17.294979095458984,-13.727360725402832,21.271756871045216,15.68539810180664,37.10541152954099,8.0,23.5,32.0,45.0,110.0
RGI2000-v7.0-G-11-03316,1.7541892528533936,1.3651553392410278,0.0,0.6335685849189758,1.7429031133651733,2.3793482780456543,6.067302227020264,3.411078929901123,2.4188473224639893,0.0,1.6733747720718384,2.8541312217712402,4.754917621612549,13.673047065734863,2.333319664001465,41,1.075268817204301,54.0915412902832,23.060638427734375,69.43902587890625,36.20204162597656,25.0059757232666,-15.347484588623047,31.6791490012802,21.169052124023438,66.16635131835938,12.0,40.0,61.0,93.0,142.0
RGI2000-v7.0-G-11-00774,27.689037322998047,24.975357055664062,0.0,8.92794680595398,21.832768440246582,38.98412609100342,128.0843048095703,39.500694274902344,44.86231231689453,0.0,6.457242012023926,20.87549591064453,64.16034698486328,263.0714111328125,20.612783432006836,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00975,3.1182632446289062,2.064221143722534,0.0,1.6538368463516235,2.785546064376831,4.300574064254761,9.602371215820312,2.7890617847442627,1.890474796295166,0.0,1.361865609884262,2.403882622718811,3.705024838447571,14.178240776062012,2.159266948699951,99,5.732484076433121,33.34138870239258,14.444993019104004,56.81413650512695,29.390682220458984,24.91444969177246,-23.472734451293945,33.199624815509964,18.65823745727539,79.37263336181638,11.625,32.8125,52.0,70.375,122.0
